Tweet ID,Tweet Text,Information Source,Information Type,Informativeness,source_dataset,detected_language
334472155234463744,Ni saben pronunciar el nombre de Dzhokhar Tsarnaev pero ahí andan de lamebotas porque está guapo.,Not applicable,Other Useful Information,Related - but not informative,2013_Boston_bombings,es
325091690815844352,RT @southerrnnbelle: It breaks my heart for all the people in Boston #prayforboston,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings,tl
324758373662867456,what a horrible week for america. #prayforboston #prayforwest #WestTX,Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion,tl
325601298768621569,"@BRSurabaya broh,ada menit diam u/ (alm) anne williams dan korban boston marathon?",Not applicable,Not applicable,Related - but not informative,2013_Boston_bombings,ms
324890880131620864,RT @joeydegraw: Prayers for west Texas,Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion,tl
323913577922715648,RT @inecascos: que huevos hacer estoy en una maratón #PrayForBoston http://t.co/kbsJTZ1mNw,Outsiders,Not applicable,Related - but not informative,2013_Boston_bombings,es
323932745900363776,"110 lesionados y dos muertos?y los que faltan,¿acaso no tienen corazón o sentimientos?yo creo que no.  #PrayForBoston",Not applicable,Not applicable,Related - but not informative,2013_Boston_bombings,es
328258189021810688,A letter of hope on the marathon bombing - http://t.co/ARuYRfUAk6,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings,tl
324058965115822081,Què triste y horrible lo ocurrido en Boston! Estoy con Todos de esos areas. #PrayForBoston,Outsiders,Not applicable,Related - but not informative,2013_Boston_bombings,es
324414616925003776,RT @juanmata10: Todo mi apoyo para las víctimas y heridos del atentado de la marathon de #Boston Una noticia terrible.,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings,es
323938471150493696,RT @JaiBrooks1: #PrayforBoston http://t.co/mtabcBCPcf,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings,tl
323906137239990272,Oh deary me #BostonMarathon,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings,tl
324428248421380096,#BostonMarathon Amen! http://t.co/B5cW4oGzIa,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings,ms
324749058138845185,"Mi oración esta noche es para las victimas y familiares de esta explosión cerca de Waco, Texas. #prayfortexas",Outsiders,Not applicable,Related - but not informative,2013_West_Texas_explosion,es
324702774006775809,#waco #explosion http://t.co/4KzHKAsPop,Outsiders,Other Useful Information,Related - but not informative,2013_West_Texas_explosion,es
324777176727707648,RT @NINALUVVV: #PRAYFORBOSTON #PRAYFORTEXAS,Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion,tl
324736622027501570,"@sebmusset West, Texas. Ce n'etait pas en Waco, je crois.",Outsiders,Not applicable,Related - but not informative,2013_West_Texas_explosion,fr
323879075607363585,Bombing in Boston?😔,Outsiders,Other Useful Information,Related - but not informative,2013_Boston_bombings,tl
324745010643861504,"RT @fuccyoudis2o9: This explosion was serious, please #PrayForWest #WestTX 😔🙏 http://t.co/xLTV5hJX5u",Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion,tl
323885861991243776,Deux explosions lors du marathon de Boston ont blessé de nombreuses personnes. Toutes nos pensées aux victimes. #sadnews,Outsiders,Other Useful Information,Related - but not informative,2013_Boston_bombings,fr
