Tweet ID,Tweet Text,Information Source,Information Type,Informativeness,source_dataset
323967638315364352,Lost all faith in humanity...#prayforboston,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings
396601965188493312,#prayforlax #laxshooting http://t.co/4fSX5WesRL,Outsiders,Sympathy and support,Related - but not informative,2013_LA_airport_shootings
378048146850328576,"Pray for Boulder, Colorado #boulderflood",Outsiders,Sympathy and support,Related - but not informative,2013_Colorado_floods
324147586548248577,"RT @3PennyMovies “@HuffPostCanada: 'We hurt together, we help each other together' #BostonMarathon #bostonstrong”",Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings
216650766893596672,RT @krccfm: Official hashtag for fire is #waldofire,Media,Other Useful Information,Related - but not informative,2012_Colorado_wildfires
325388756582543360,I will be so disappointed if Tsarnaev is killed.,Outsiders,Other Useful Information,Related - but not informative,2013_Boston_bombings
323889179664732160,My thoughts and prayers go out to everyone injured at the Boston Marathon.  #onelove,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings
324794964787740672,#prayfortexas #PrayforBoston life is to short to dwell on little stuff,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings
218204722992123905,terrible forest fires in colorado springs. lived there for a couple of months in the 90s. beautiful hills http://t.co/cmUgoHZo,Outsiders,Affected individuals,Related - but not informative,2012_Colorado_wildfires
407162836746797056,Smh RIP to the people who died in the metro north crash this morning wow..,Outsiders,Sympathy and support,Related - but not informative,2013_NY_train_crash
380716143608360960,RT @LeftHandBrewing: Help us spread the word about #LongmontOktoberfest &amp; #COFlood relief! Share: http://t.co/qvryJ8VA1R,Outsiders,Donations and volunteering,Related - but not informative,2013_Colorado_floods
396475557237772288,@CodySimpson How was your day Cody? Sorry about LAX airport,Outsiders,Sympathy and support,Related - but not informative,2013_LA_airport_shootings
220705253790724097,It could be worse. I could be in Colorado where I can't have fireworks AND my neighborhood is on fire. #iwillstopwhiningnow,Outsiders,Sympathy and support,Related - but not informative,2012_Colorado_wildfires
334472155234463744,Ni saben pronunciar el nombre de Dzhokhar Tsarnaev pero ahí andan de lamebotas porque está guapo.,Not applicable,Other Useful Information,Related - but not informative,2013_Boston_bombings
324741541929316355,Isaiah 40:31 right about now #prayforwest #bostonstrong #prayforboston,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings
325223308087934976,RT @AP: Man who finished Boston Marathon seconds before bombing witnesses Texas explosion days later: http://t.co/THvRFFrMjI -CC,Media,Other Useful Information,Related - but not informative,2013_West_Texas_explosion
396345726730371072,RT @Kirkland96: Prayers for #LAX,Outsiders,Sympathy and support,Related - but not informative,2013_LA_airport_shootings
378038458024865792,Thoughts and prayers out to those in Boulder who may not get to Amante for morning coffee. #boulderflood,Outsiders,Sympathy and support,Related - but not informative,2013_Colorado_floods
324755102143504385,RT @milesmcpherson: #PrayforTexas #PrayforWest continue to #PrayforBoston,Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion
396378782061588480,RT @THEREALCHASKE: My thoughts and prayers go out to the victims of the LAX shooting. WTF?!,Outsiders,Sympathy and support,Related - but not informative,2013_LA_airport_shootings
323905390645489665,Such sad news about what's happening in Boston. Thoughts &amp; prayers out to all those affected by this horrific tragedy.,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings
324743609750523904,@SavvAssBriana: #prayfortexas  #prayfortexas  #prayfortexas  !!!!!!! #DEAD lmao,Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion
324913579696459776,Please keep our family in your thoughts. Everyone is okay but lost their to the explosion. #prayforwest,Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion
324739956490780674,That explosion in Texas is so scary,Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion
396313082466541568,Something's happening @ #LAX rt now!! Re-tweet.,Outsiders,Other Useful Information,Related - but not informative,2013_LA_airport_shootings
217830637195894785,RT @boulderpolice: 11 agencies helping fight #FlagstaffFire. Thank you!,Government,Sympathy and support,Related - but not informative,2012_Colorado_wildfires
323918749499551745,"Lord, our world really needs your help...😔 #prayforboston",Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings
217860051833077760,#waldocanyonfire #waldofire sending as much positive thoughts as I can to C Springs. Love that land!,Outsiders,Sympathy and support,Related - but not informative,2012_Colorado_wildfires
323953646125608960,RT @CoachKWisdom: All prayers go to victims and families of the people affected by the tragedy. #prayforboston,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings
323885803266797568,RT @BigBootyProbs: #PrayForBoston http://t.co/rVpnX46oSE,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings
219493108319133697,"Thanks for the RTs @mayread3 Maria, appreciate your support. Needs ongoing. #HighParkFire #smday http://t.co/xeicWhRw",Outsiders,Sympathy and support,Related - but not informative,2012_Colorado_wildfires
324175336059314176,RT @dpshow: Dan's Opening Monologue on Boston Tragedy http://t.co/EeaGt06ULa,Outsiders,Other Useful Information,Related - but not informative,2013_Boston_bombings
378178619048087552,RT @RGIII: Please pray my family in Colorado and all others impacted by the #boulderflood,Eyewitness,Sympathy and support,Related - but not informative,2013_Colorado_floods
324739566407913472,“@nickels_sarah: My heart is beating so fast...#prayfortexas #texasexplosion  https://t.co/VqizbMlXrw” wow,Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion
218161047683596288,RT @kylefrost: Wow.  This is just insane.  Keep you thoughts with the residents of Colorado Springs. http://t.co/bbw6kDfR,Outsiders,Sympathy and support,Related - but not informative,2012_Colorado_wildfires
407301533995642880,Sending love &amp; healing vibes to all affected by today's Metro-North train derailment in the Bronx... ❤️❤️❤️,Outsiders,Sympathy and support,Related - but not informative,2013_NY_train_crash
380566021079175168,Colorado Flooding - PLEASE Help these desperate Animals Now https://t.co/kRoeYFlhUb,Media,Donations and volunteering,Related - but not informative,2013_Colorado_floods
323927138107535360,RT @AnneFoxyCoxy: Its a very sad state of affairs 😔 our thoughts are with you #prayforboston,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings
324919418176016384,#prayfortexas too much pain this month:(,Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion
323933190492397569,Pray for Boston #bostonmarathon #thoughtsbewiththevictims http://t.co/JFbwLvCYKK,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings
324734063514624002,I hate hearing about all these tragedies on the news. When is something good going to happen? 😔 #PrayForWest #PrayersForBoston,Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion
407187230847799296,My heart goes out to everyone who was on the derailed train in New York this morning.,Outsiders,Sympathy and support,Related - but not informative,2013_NY_train_crash
